threshold,precision,recall,f1,f2,model
0.39,0.7091295116772823,0.912568306010929,0.7980884109916367,0.8630490956072352,random_forest
0.4,0.7233115468409586,0.907103825136612,0.8048484848484848,0.8632345293811753,random_forest
0.41000000000000003,0.7252747252747253,0.9016393442622951,0.8038976857490865,0.859822824387702,random_forest
0.42000000000000004,0.7278761061946902,0.8989071038251366,0.80440097799511,0.8585594989561587,random_forest
0.43000000000000005,0.7274774774774775,0.8825136612021858,0.7975308641975308,0.8464360587002097,random_forest
0.43999999999999995,0.7328767123287672,0.8770491803278688,0.7985074626865671,0.8438485804416404,random_forest
0.44999999999999996,0.7417840375586855,0.8633879781420765,0.797979797979798,0.8359788359788359,random_forest
0.45999999999999996,0.7529976019184652,0.8579234972677595,0.8020434227330779,0.834662413609782,random_forest
0.47,0.7560975609756098,0.8469945355191257,0.7989690721649485,0.8271077908217717,random_forest
0.48,0.7617866004962779,0.8387978142076503,0.7984395318595578,0.8221746116764863,random_forest
0.49,0.7670886075949367,0.8278688524590164,0.7963206307490145,0.814954276492738,random_forest
0.5,0.7751937984496124,0.819672131147541,0.796812749003984,0.8103727714748784,random_forest
0.51,0.7868421052631579,0.8169398907103825,0.8016085790884718,0.8107375271149675,random_forest
0.52,0.7845744680851063,0.8060109289617486,0.7951482479784366,0.8016304347826086,random_forest
0.53,0.7891891891891892,0.7978142076502732,0.7934782608695652,0.7960741548527808,random_forest
0.54,0.7977839335180056,0.7868852459016393,0.7922971114167813,0.7890410958904109,random_forest
0.55,0.8108882521489972,0.773224043715847,0.7916083916083916,0.7804743519029234,random_forest
0.56,0.8187134502923976,0.7650273224043715,0.7909604519774012,0.7751937984496124,random_forest
0.57,0.8244047619047619,0.7568306010928961,0.7891737891737892,0.7694444444444445,random_forest
0.58,0.8282208588957055,0.7377049180327869,0.7803468208092486,0.7541899441340782,random_forest
0.59,0.834920634920635,0.7185792349726776,0.7723935389133627,0.7391793142214728,random_forest
0.6,0.842443729903537,0.7158469945355191,0.7740029542097489,0.7380281690140845,random_forest
0.61,0.8431372549019608,0.7049180327868853,0.7678571428571429,0.7288135593220338,random_forest
0.62,0.8532423208191127,0.6830601092896175,0.7587253414264037,0.7114399544678429,random_forest
0.63,0.8506944444444444,0.6693989071038251,0.7492354740061162,0.6992009132420092,random_forest
0.64,0.8566308243727598,0.6530054644808743,0.7410852713178294,0.6855995410212278,random_forest
0.65,0.8597785977859779,0.6366120218579235,0.7315541601255887,0.6714697406340058,random_forest
0.66,0.8646616541353384,0.6284153005464481,0.7278481012658228,0.6647398843930635,random_forest
0.67,0.8656126482213439,0.5983606557377049,0.7075928917609047,0.6377402446126965,random_forest
0.68,0.8806584362139918,0.5846994535519126,0.7027914614121511,0.6268306971294669,random_forest
0.6900000000000001,0.8803418803418803,0.5628415300546448,0.6866666666666666,0.6065959952885748,random_forest
0.7000000000000001,0.8854625550660793,0.5491803278688525,0.6779089376053963,0.5943228858663513,random_forest
0.7100000000000001,0.8899082568807339,0.5300546448087432,0.6643835616438356,0.5766944114149821,random_forest
0.7200000000000001,0.8995215311004785,0.5136612021857924,0.6539130434782608,0.5618649133293485,random_forest
